ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
34,Stuttgart,Mercedes Cup,10/06/2019,ATP250,Outdoor,Grass,1st Round,3,Tsonga J.W.,Zverev M.,79,114,715,490,6,3,6,0,,,,,,,2,0,Completed,1.28,3.5,1.26,4.25,1.31,4.55,1.24,4.01
34,Stuttgart,Mercedes Cup,10/06/2019,ATP250,Outdoor,Grass,1st Round,3,Kecmanovic M.,Kohlschreiber P.,83,51,684,930,4,6,7,5,6,3,,,,,2,1,Completed,5,1.16,5.32,1.19,5.55,1.22,5.01,1.17
34,Stuttgart,Mercedes Cup,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Fucsovics M.,Munar J.,52,74,930,735,7,6,6,4,,,,,,,2,0,Completed,1.3,3.4,1.33,3.64,1.34,3.8,1.31,3.43
34,Stuttgart,Mercedes Cup,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Struff J.L.,Shapovalov D.,38,25,1170,1390,7,5,6,4,,,,,,,2,0,Completed,2,1.72,2.17,1.76,2.23,1.83,2.09,1.73
34,Stuttgart,Mercedes Cup,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Raonic M.,Popyrin A.,18,103,1960,558,6,7,6,4,7,6,,,,,2,1,Completed,1.3,3.4,1.28,4.05,1.31,4.05,1.28,3.65
34,Stuttgart,Mercedes Cup,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Auger-Aliassime F.,Gulbis E.,21,90,1462,627,7,5,6,3,,,,,,,2,0,Completed,1.61,2.2,1.64,2.39,1.74,2.39,1.65,2.23
34,Stuttgart,Mercedes Cup,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Brown D.,Millman J.,170,56,313,875,6,4,7,6,,,,,,,2,0,Completed,2,1.72,2.05,1.85,2.15,1.85,2.03,1.78
34,Stuttgart,Mercedes Cup,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Pouille L.,Lopez F.,26,108,1340,540,6,3,3,6,7,6,,,,,2,1,Completed,1.83,1.83,1.97,1.92,2,2.17,1.87,1.91
34,Stuttgart,Mercedes Cup,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Kudla D.,Galovic V.,84,205,675,259,6,3,6,2,,,,,,,2,0,Completed,1.25,3.75,1.26,4.23,1.29,4.25,1.25,3.88
34,Stuttgart,Mercedes Cup,11/06/2019,ATP250,Outdoor,Grass,1st Round,3,Berrettini M.,Kyrgios N.,30,36,1275,1225,6,3,6,4,,,,,,,2,0,Completed,2.62,1.44,2.84,1.48,2.88,1.54,2.75,1.44
