WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Vekic D.,Jakupovic D.,22,110,2110,585,6,2,6,7,6,0,2,1,Completed,1.11,6.5,1.14,6.65,1.15,6.95,1.13,6.19,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Ruse E.G.,Rodina E.,211,76,272,800,6,3,6,3,,,2,0,Completed,1.72,2,1.75,2.16,1.82,2.2,1.74,2.09,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Golubic V.,Samsonova L.,85,153,718,392,6,1,6,7,6,3,2,1,Completed,1.44,2.62,1.52,2.71,1.54,2.8,1.48,2.65,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Paquet C.,Raina A.,168,173,353,345,5,7,6,4,6,2,2,1,Completed,1.8,1.9,1.85,2.02,1.91,2.05,1.84,1.97,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Tomljanovic A.,Lao D.,47,167,1168,354,6,2,6,3,,,2,0,Completed,1.2,4.33,1.23,4.7,1.24,4.85,1.21,4.42,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Dart H.,Lapko V.,159,103,373,613,7,6,3,6,6,3,2,1,Completed,1.8,1.9,1.93,1.96,1.95,2,1.87,1.93,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Sakkari M.,Watson H.,33,115,1582,559,6,4,6,3,,,2,0,Completed,1.5,2.5,1.54,2.64,1.56,2.65,1.52,2.48,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Pera B.,Swan K.,97,203,672,279,7,6,6,1,,,2,0,Completed,1.5,2.5,1.53,2.66,1.57,2.75,1.5,2.57,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Garcia C.,Bains N.,28,226,1885,246,6,1,6,2,,,2,0,Completed,1.1,7,1.11,7.64,1.12,9.1,1.1,7.11,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Maria T.,Niculescu M.,56,144,1026,418,6,1,3,6,7,6,2,1,Completed,1.44,2.62,1.58,2.51,1.61,2.71,1.53,2.49,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Lumsden M.,Moore T.,280,481,176,56,6,3,7,6,,,2,0,Completed,2.75,1.4,2.67,1.53,2.86,1.62,2.62,1.48,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Brady J.,Zhang S.,80,50,753,1120,7,5,6,3,,,2,0,Completed,1.44,2.62,1.55,2.61,1.57,2.66,1.51,2.56,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Sorribes Tormo S.,Rogers S.,64,361,885,115,6,4,5,7,7,6,2,1,Completed,2,1.72,2.03,1.86,2.05,1.91,1.98,1.82,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Jorovic I.,Perez E.,104,202,611,282,6,3,6,4,,,2,0,Completed,1.44,2.62,1.41,3.12,1.5,3.29,1.43,2.84,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Sharma A.,Rybarikova M.,94,81,681,744,6,1,,,,,1,0,Retired,3.25,1.33,3.14,1.41,3.33,1.43,3.08,1.37,,,,
29,Nottingham,Nottingham Open,12/06/2019,International,Outdoor,Grass,1st Round,3,Mladenovic K.,Frech M.,48,221,1150,254,7,5,6,2,,,2,0,Completed,1.33,3.25,1.33,3.61,1.42,3.61,1.33,3.33,,,,
29,Nottingham,Nottingham Open,13/06/2019,International,Outdoor,Grass,2nd Round,3,Ruse E.G.,Golubic V.,211,85,272,718,7,6,4,6,6,4,2,1,Completed,2.37,1.53,2.63,1.55,2.66,1.63,2.44,1.55,,,,
29,Nottingham,Nottingham Open,13/06/2019,International,Outdoor,Grass,2nd Round,3,Tomljanovic A.,Dart H.,47,159,1168,373,6,7,6,1,6,2,2,1,Completed,1.25,3.75,1.3,3.89,1.34,4.05,1.28,3.68,,,,
29,Nottingham,Nottingham Open,13/06/2019,International,Outdoor,Grass,2nd Round,3,Vekic D.,Paquet C.,22,168,2110,353,6,1,6,2,,,2,0,Completed,1.12,6,1.14,6.77,1.14,7.5,1.11,6.37,,,,
29,Nottingham,Nottingham Open,13/06/2019,International,Outdoor,Grass,2nd Round,3,Maria T.,Pera B.,56,97,1026,672,5,7,7,6,6,3,2,1,Completed,1.72,2,1.88,2.03,1.88,2.23,1.79,2.01,,,,
29,Nottingham,Nottingham Open,13/06/2019,International,Outdoor,Grass,2nd Round,3,Garcia C.,Lumsden M.,28,280,1885,176,6,3,6,1,,,2,0,Completed,1.07,9,1.06,12.13,1.08,12.13,1.06,9.3,,,,
29,Nottingham,Nottingham Open,13/06/2019,International,Outdoor,Grass,2nd Round,3,Sakkari M.,Jorovic I.,33,104,1582,611,6,2,6,4,,,2,0,Completed,1.25,3.75,1.31,3.85,1.31,4.2,1.27,3.78,,,,
29,Nottingham,Nottingham Open,13/06/2019,International,Outdoor,Grass,2nd Round,3,Brady J.,Sorribes Tormo S.,80,64,753,885,6,4,3,6,7,5,2,1,Completed,1.53,2.37,1.49,2.84,1.58,2.9,1.48,2.63,,,,
