"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
1,"Rafael Nadal",32,2222.3,2011.2,2252,1635.8,"2009 Madrid Masters F",22.9,2388.4
2,"Roger Federer",36.9,2150.2,2064.3,1748.4,1908,"2007 Indian Wells Masters R64",25.6,2405.7
3,"Novak Djokovic",31.1,2102.6,2068.4,2056.6,1940.9,"2016 Monte Carlo Masters R32",28.9,2459.9
4,"Juan Martin Del Potro",29.7,2098.4,2022.4,1869,1613.7,"2009 Tokyo R32",21,2256.6
5,"Alexander Zverev",21.2,2074.9,1922.6,2085.2,1725.2,"2017 Cincinnati Masters R32",20.3,2136.8
6,"Andy Murray",31.1,2054.1,2009.3,1954.8,1839.6,"2017 Doha F",29.6,2334.7
7,"Dominic Thiem",24.8,2020,1804.7,2117.3,1640.9,"2016 Halle SF",22.8,2116.5
8,"Marin Cilic",29.7,1980.7,1818.2,1839.9,1875,"2010 Dubai QF",21.4,2110.6
9,"David Goffin",27.5,1978.7,1903.9,1923.7,1643.6,"2017 Monte Carlo SF",26.4,2034.6
10,"Kei Nishikori",28.5,1978.1,1837.5,1977.9,1666.5,"2016 Us Open SF",26.7,2201.9
11,"Grigor Dimitrov",27.1,1968.7,1936.9,1784.6,1717,"2014 Canada Masters SF",23.2,2099.1
12,"Borna Coric",21.6,1966.8,1835.1,1789.9,1630.2,"2018 Halle F",21.6,1943.1
13,"Nick Kyrgios",23.1,1963.1,1870.7,1635.3,1733.9,"2017 Cincinnati Masters F",22.3,2081.9
14,"Milos Raonic",27.5,1948.9,1850.9,1830,1791.4,"2016 Wimbledon F",25.5,2144.4
15,"Roberto Bautista Agut",30.2,1933.3,1853.5,1817.7,1793.2,"2016 Rotterdam QF",27.8,2020.2
16,"Kevin Anderson",32.1,1916.5,1834.2,1820.7,1631,"2015 Shanghai Masters QF",29.4,2004.6
17,"Tomas Berdych",32.8,1910.9,1877.2,1866.1,1760.7,"2013 Indian Wells Masters SF",27.5,2129.7
18,"Hyeon Chung",22,1909.9,1849.7,1775.2,1439.7,"2018 Miami Masters QF",21.8,1958.4
19,"Diego Sebastian Schwartzman",25.8,1907.4,1758.5,1864.3,1282.5,"2018 Acapulco R16",25.5,1942.4
20,"Kyle Edmund",23.4,1905.9,1800.5,1811.3,1401.1,"2018 Australian Open SF",23,1935.4
21,"Fabio Fognini",31,1897.2,1814.4,1839.3,1626.6,"2014 Monte Carlo Masters R16",26.9,2014.3
22,"John Isner",33.1,1897.1,1843.5,1792.6,1731.1,"2012 US Open R32",27.3,2045.5
23,"Richard Gasquet",32,1894.9,1786.1,1819.9,1709.9,"2007 Adelaide QF",20.5,2046.8
