"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
1,"Novak Djokovic",34,2159.9,"2043.5","2036.0","1918.4",2101.7,2098,2039.2,"2016 Miami F",28.8,2470
2,"Rafael Nadal",35,2137.2,"1933.9","2075.9","1588.0",2035.5,2106.5,1862.6,"2009 Madrid SF",22.9,2370
3,"Stefanos Tsitsipas",22.8,2121.4,"1937.3","2030.7","1575.5",2029.3,2076,1848.5,"2021 Roland Garros SF",22.8,2132.6
4,"Daniil Medvedev",25.3,2079.8,"2060.1","1713.9","1610.6",2070,1896.9,1845.2,"2021 Australian Open SF",25,2159.1
5,"Alexander Zverev",24.2,2043.2,"1938.9","1999.1","1633.1",1991,2021.1,1838.1,"2017 Canada F",20.3,2148.1
6,"Andrey Rublev",23.6,2039.8,"1979.7","1827.2","1642.9",2009.7,1933.5,1841.3,"2021 Monte Carlo SF",23.5,2105.9
7,"Matteo Berrettini",25.2,2006.6,"1737.5","1910.3","1787.9",1872,1958.4,1897.2,"2019 Vienna QF",23.5,2020.5
8,"Dominic Thiem",27.7,2002.1,"1934.1","1935.9","1618.3",1968.1,1969,1810.2,"2016 Halle R16",22.8,2123.2
9,"Pablo Carreno Busta",29.9,1947.3,"1820.7","1831.7","1342.4",1884,1889.5,1644.9,"2021 Barcelona QF",29.8,1961.1
10,"Jannik Sinner",19.8,1942.9,"1875.1","1806.8","1334.5",1909,1874.8,1638.7,"2021 Barcelona QF",19.7,2022.9
11,"Casper Ruud",22.4,1940.7,"1636.0","1887.7","1399.2",1788.4,1914.2,1670,"2021 Roland Garros R64",22.4,1955.8
12,"Milos Raonic",30.2,1928.2,"1841.3","1696.2","1665.2",1884.8,1812.2,1796.7,"2016 Wimbledon SF",25.5,2155.9
13,"Cameron Norrie",25.8,1923.7,"1718.8","1810.4","1515.0",1821.2,1867.1,1719.3,"2021 Queen's Club SF",25.8,1934.6
14,"Alejandro Davidovich Fokina",22,1922.3,"1703.3","1800.7","1436.1",1812.8,1861.5,1679.2,"2021 Roland Garros R16",22,1932.4
15,"Stan Wawrinka",35.9,1908.3,"1826.8","1848.6","1537.0",1867.5,1878.4,1722.6,"2016 Australian Open R32",30.8,2145.8
16,"Diego Schwartzman",28.8,1907.5,"1753.5","1872.6","1500.4",1830.5,1890.1,1704,"2020 Paris R16",28.2,1973.9
17,"Aslan Karatsev",27.8,1906.9,"1790.2","1726.3","1342.9",1848.6,1816.6,1624.9,"2021 Rome R32",27.7,1958.2
18,"Ugo Humbert",23,1883.1,"1752.7","1405.9","1789.4",1817.9,1644.5,1836.3,"2020 Paris R16",22.4,1916.7
19,"Denis Shapovalov",22.2,1876.8,"1790.1","1751.0","1515.7",1833.5,1813.9,1696.3,"2020 Auckland R16",20.7,1973.1
20,"Roberto Bautista Agut",33.2,1873.6,"1805.1","1707.9","1670.0",1839.4,1790.7,1771.8,"2016 Rotterdam R16",27.8,2014.5
21,"Sebastian Korda",20.9,1872.2,"1784.3","1652.4","1550.4",1828.3,1762.3,1711.3,"2021 Miami R16",20.7,1905.7
22,"Borna Coric",24.3,1870.6,"1794.8","1742.2","1620.4",1832.7,1806.4,1745.5,"2019 Australian Open R32",22.2,1996.3
23,"Felix Auger Aliassime",20.8,1869.9,"1765.8","1681.7","1769.8",1817.9,1775.8,1819.9,"2019 Queen's Club QF",18.9,1937.8
24,"Cristian Garin",25,1866.8,"1566.9","1815.0","1567.1",1716.9,1840.9,1716.9,"2019 Munich F",22.9,1883.7
25,"John Isner",36.1,1866.2,"1729.6","1728.2","1727.1",1797.9,1797.2,1796.7,"2012 US Open R64",27.3,2039.7
26,"Kei Nishikori",31.5,1861.3,"1757.1","1805.2","1643.1",1809.2,1833.2,1752.2,"2016 US Open QF",26.7,2210.4
27,"Lorenzo Musetti",19.2,1861.1,"1694.4","1745.7","-",1777.7,1803.4,1630.5,"2021 Roland Garros R32",19.2,1861.1
28,"Marton Fucsovics",29.3,1856.5,"1835.8","1650.5","1552.4",1846.2,1753.5,1704.5,"2021 Miami R64",29.1,1922.8
29,"Grigor Dimitrov",30,1854.7,"1771.0","1723.1","1514.4",1812.9,1788.9,1684.5,"2014 Canada QF",23.2,2090.3
30,"Marin Cilic",32.7,1853.2,"1724.9","1739.9","1802.9",1789,1796.6,1828.1,"2010 Dubai R16",21.4,2094.4
31,"Carlos Alcaraz Garfia",18.1,1851.1,"1427.8","1806.1","-",1639.4,1828.6,1625.5,"2021 Roland Garros Qual",18.1,1876.6
32,"Daniel Evans",31.1,1850.1,"1771.9","1599.9","1682.7",1811,1725,1766.4,"2021 Monte Carlo QF",30.9,1886
