Rank,Player,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
1,Novak Djokovic,2159.9,2043.5,2036.0,1918.4,2101.7,2098,2039.2,Djokovic N.
2,Rafael Nadal,2137.2,1933.9,2075.9,1588.0,2035.5,2106.5,1862.6,Nadal R.
3,Stefanos Tsitsipas,2121.4,1937.3,2030.7,1575.5,2029.3,2076,1848.5,Tsitsipas S.
4,Daniil Medvedev,2079.8,2060.1,1713.9,1610.6,2070,1896.9,1845.2,Medvedev D.
5,Alexander Zverev,2043.2,1938.9,1999.1,1633.1,1991,2021.1,1838.1,Zverev A.
6,Andrey Rublev,2039.8,1979.7,1827.2,1642.9,2009.7,1933.5,1841.3,Rublev A.
7,Matteo Berrettini,2006.6,1737.5,1910.3,1787.9,1872,1958.4,1897.2,Berrettini M.
8,Dominic Thiem,2002.1,1934.1,1935.9,1618.3,1968.1,1969,1810.2,Thiem D.
9,Pablo Carreno Busta,1947.3,1820.7,1831.7,1342.4,1884,1889.5,1644.9,Busta P.C.
10,Jannik Sinner,1942.9,1875.1,1806.8,1334.5,1909,1874.8,1638.7,Sinner J.
11,Casper Ruud,1940.7,1636.0,1887.7,1399.2,1788.4,1914.2,1670,Ruud C.
12,Milos Raonic,1928.2,1841.3,1696.2,1665.2,1884.8,1812.2,1796.7,Raonic M.
13,Cameron Norrie,1923.7,1718.8,1810.4,1515.0,1821.2,1867.1,1719.3,Norrie C.
14,Alejandro Davidovich Fokina,1922.3,1703.3,1800.7,1436.1,1812.8,1861.5,1679.2,Fokina A.D.
15,Stan Wawrinka,1908.3,1826.8,1848.6,1537.0,1867.5,1878.4,1722.6,Wawrinka S.
16,Diego Schwartzman,1907.5,1753.5,1872.6,1500.4,1830.5,1890.1,1704,Schwartzman D.
17,Aslan Karatsev,1906.9,1790.2,1726.3,1342.9,1848.6,1816.6,1624.9,Karatsev A.
18,Ugo Humbert,1883.1,1752.7,1405.9,1789.4,1817.9,1644.5,1836.3,Humbert U.
19,Denis Shapovalov,1876.8,1790.1,1751.0,1515.7,1833.5,1813.9,1696.3,Shapovalov D.
20,Roberto Bautista Agut,1873.6,1805.1,1707.9,1670.0,1839.4,1790.7,1771.8,Agut R.B.
21,Sebastian Korda,1872.2,1784.3,1652.4,1550.4,1828.3,1762.3,1711.3,Korda S.
22,Borna Coric,1870.6,1794.8,1742.2,1620.4,1832.7,1806.4,1745.5,Coric B.
23,Felix Auger Aliassime,1869.9,1765.8,1681.7,1769.8,1817.9,1775.8,1819.9,Aliassime F.A.
24,Cristian Garin,1866.8,1566.9,1815.0,1567.1,1716.9,1840.9,1716.9,Garin C.
25,John Isner,1866.2,1729.6,1728.2,1727.1,1797.9,1797.2,1796.7,Isner J.
26,Kei Nishikori,1861.3,1757.1,1805.2,1643.1,1809.2,1833.2,1752.2,Nishikori K.
27,Lorenzo Musetti,1861.1,1694.4,1745.7,-,1777.7,1803.4,1630.5,Musetti L.
28,Marton Fucsovics,1856.5,1835.8,1650.5,1552.4,1846.2,1753.5,1704.5,Fucsovics M.
29,Grigor Dimitrov,1854.7,1771.0,1723.1,1514.4,1812.9,1788.9,1684.5,Dimitrov G.
30,Marin Cilic,1853.2,1724.9,1739.9,1802.9,1789,1796.6,1828.1,Cilic M.
31,Carlos Alcaraz Garfia,1851.1,1427.8,1806.1,-,1639.4,1828.6,1625.5,Garfia C.A.
32,Daniel Evans,1850.1,1771.9,1599.9,1682.7,1811,1725,1766.4,Evans D.
33,Andy Murray,1841.5,1762.3,1776.8,1635.5,1801.9,1809.2,1738.5,Murray A.
34,Alex De Minaur,1839.3,1773.3,1453.2,1614.4,1806.3,1646.2,1726.8,Minaur A.D.
35,Jenson Brooksby,1837.3,1713.1,1661.4,1500.0,1775.2,1749.4,1668.6,Brooksby J.
36,David Goffin,1836.1,1734.5,1736.0,1724.3,1785.3,1786.1,1780.2,Goffin D.
37,Kevin Anderson,1834.5,1765.1,1671.4,1587.8,1799.8,1752.9,1711.1,Anderson K.
38,Vasek Pospisil,1832.6,1780.0,1279.2,1478.2,1806.3,1555.9,1655.4,Pospisil V.
39,Lorenzo Sonego,1831.1,1614.5,1788.6,1515.1,1722.8,1809.8,1673.1,Sonego L.
40,Lloyd Harris,1829.9,1776.3,1576.3,1439.0,1803.1,1703.1,1634.4,Harris L.
41,Karen Khachanov,1828.4,1763.0,1747.6,1653.1,1795.7,1788,1740.8,Khachanov K.
42,Jan Lennard Struff,1824.1,1686.7,1748.1,1553.0,1755.4,1786.1,1688.5,Struff J.L.
43,Filip Krajinovic,1823.6,1779.3,1749.0,1362.2,1801.5,1786.3,1592.9,Krajinovic F.
44,Hubert Hurkacz,1821.1,1821.1,1574.5,1486.1,1821.1,1697.8,1653.6,Hurkacz H.
45,Fabio Fognini,1815.4,1732.3,1770.9,1639.4,1773.8,1793.2,1727.4,Fognini F.
46,Alexander Bublik,1807,1736.5,1536.5,1534.1,1771.7,1671.7,1670.5,Bublik A.
47,Jeremy Chardy,1805.2,1766.9,1669.0,1556.6,1786.1,1737.1,1680.9,Chardy J.
48,Frances Tiafoe,1804,1732.3,1653.3,1648.2,1768.1,1728.7,1726.1,Tiafoe F.
49,Taylor Fritz,1802.9,1741.9,1653.8,1576.5,1772.4,1728.3,1689.7,Fritz T.
50,Federico Delbonis,1801.6,1455.9,1792.1,1181.6,1628.8,1796.9,1491.6,Delbonis F.
51,Richard Gasquet,1799.9,1687.9,1666.6,1603.6,1743.9,1733.2,1701.8,Gasquet R.
52,Tommy Paul,1798,1665.2,1675.6,1506.5,1731.6,1736.8,1652.2,Paul T.
53,Yoshihito Nishioka,1797.7,1691.4,1611.7,1403.0,1744.5,1704.7,1600.3,Nishioka Y.
54,Reilly Opelka,1794.9,1693.3,1686.1,1417.4,1744.1,1740.5,1606.1,Opelka R.
55,Nikoloz Basilashvili,1783.6,1646.5,1728.2,1572.4,1715,1755.9,1678,Basilashvili N.
56,Ilya Ivashka,1782.4,1676.1,1677.4,1476.3,1729.2,1729.9,1629.4,Ivashka I.
57,Aljaz Bedene,1779.9,1708.2,1689.2,1531.0,1744.1,1734.6,1655.4,Bedene A.
58,Albert Ramos,1772.8,1557.8,1739.7,1378.5,1665.3,1756.2,1575.6,Ramos A.
