"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
1,"Ashleigh Barty",23.1,2178.7,2071.3,1858.3,"1788.5","2019 Birmingham F",23.1,2173.2
2,"Simona Halep",27.7,2095.8,1980,1982.9,"1709.5","2015 Stuttgart SF",23.6,2169.3
3,"Petra Kvitova",29.2,2057.6,1921.6,1893.9,"1690.9","2012 Australian Open SF",21.9,2144.5
4,"Marketa Vondrousova",19.9,2028.3,1855.5,1863.9,"1302.8","2019 Roland Garros F",19.9,2040.9
5,"Karolina Pliskova",27.2,2025.9,1956.5,1834.6,"1705.7","2018 Madrid SF",26.1,2062.6
6,"Naomi Osaka",21.7,2011.2,1922.8,1737.6,"1592.2","2019 Dubai R32",21.3,2048.4
7,"Kiki Bertens",27.5,2009.3,1829.6,1911.8,"1639.7","2019 Rome SF",27.4,2027.6
8,"Angelique Kerber",31.4,1988.7,1896.4,1800.5,"1841.8","2016 Singapore F",28.8,2121.5
9,"Johanna Konta",28.1,1987.3,1852,1797.4,"1698.5","2017 Fed Cup WG2 R1",25.9,2068.2
10,"Elina Svitolina",24.8,1977.2,1956.1,1808.3,"1482.7","2018 Roland Garros R32",23.7,2092
11,"Belinda Bencic",22.3,1956.8,1892.4,1674,"1717.4","2016 St. Petersburg F",18.9,2105.2
12,"Serena Williams",37.7,1949.2,1839.7,1705.1,"1590.9","2003 Charleston F",21.5,2472.6
13,"Sloane Stephens",26.2,1944.3,1821,1834,"1583.5","2017 Wuhan R64",24.5,1999.9
14,"Victoria Azarenka",29.9,1943.5,1883.8,1726.9,"1564.5","2013 Indian Wells R16",23.6,2307.5
15,"Madison Keys",24.3,1941.7,1833.3,1786.1,"1662.3","2016 Olympics SF",21.5,2068.6
16,"Bianca Andreescu",18.9,1939.7,1857.5,1506.4,"1473.5","2019 Miami R32",18.8,2021.8
17,"Garbine Muguruza",25.6,1937.6,1840.6,1876.6,"1735.3","2017 US Open R16",23.9,2087.7
18,"Petra Martic",28.4,1929.4,1738.3,1805.1,"1585.3","2019 Birmingham SF",28.4,1941.1
19,"Caroline Garcia",25.7,1925.1,1829.4,1755.4,"1708.5","2017 Singapore RR",24,2023.4
