"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
1,"Ashleigh Barty",25.1,2191.4,2068.5,1993.1,"1780.5",2130,2092.3,1986,"2019 Wimbledon R32",23.2,2202.9
2,"Naomi Osaka",23.6,2143.2,2117.8,1666.9,"1552.6",2130.5,1905.1,1847.9,"2021 Miami R16",23.4,2200.5
3,"Simona Halep",29.6,2113.4,1986.1,1983.5,"1817.7",2049.8,2048.4,1965.6,"2015 Stuttgart QF",23.6,2180.1
4,"Aryna Sabalenka",23.1,2087.3,1987.4,1824.4,"1525.5",2037.4,1955.9,1806.4,"2021 Rome R32",23,2138.5
5,"Iga Swiatek",20,2078.4,1853.4,1960.5,"1445.2",1965.9,2019.5,1761.8,"2021 Roland Garros R16",20,2101.9
6,"Garbine Muguruza",27.7,2038.3,1984,1861.7,"1677.7",2011.2,1950,1858,"2017 US Open R32",23.9,2110.7
7,"Petra Kvitova",31.2,2028.5,1916.9,1859.8,"1734.0",1972.7,1944.1,1881.2,"2012 Sydney QF",21.8,2177.8
8,"Cori Gauff",17.2,2017.5,1796.6,1817.6,"1641.9",1907.1,1917.6,1829.7,"2021 Roland Garros R16",17.2,2043.4
9,"Maria Sakkari",25.9,2000.9,1901.7,1787,"1513.9",1951.3,1894,1757.4,"2021 Roland Garros QF",25.9,2015
10,"Elise Mertens",25.6,1994.7,1968.1,1758.4,"1543.9",1981.4,1876.5,1769.3,"2021 Madrid R16",25.4,2045.6
11,"Elina Svitolina",26.8,1989.7,1905.2,1842.4,"1537.1",1947.4,1916,1763.4,"2018 Roland Garros R64",23.7,2114.3
12,"Barbora Krejcikova",25.5,1988.7,1753.5,1850.4,"1254.3",1871.1,1919.6,1621.5,"2021 Roland Garros F",25.5,1988.7
13,"Victoria Azarenka",31.9,1986.3,1897.1,1677.9,"1554.2",1941.7,1832.1,1770.3,"2013 Indian Wells R16",23.6,2328.6
14,"Jennifer Brady",26.1,1970.6,1886,1599.7,"1498.2",1928.3,1785.1,1734.4,"2021 Australian Open SF",25.8,1995.7
15,"Ons Jabeur",26.8,1968,1837.6,1695.2,"1745.8",1902.8,1831.6,1856.9,"2021 Birmingham F",26.8,1968
16,"Karolina Pliskova",29.2,1966.9,1851.3,1852.2,"1730.8",1909.1,1909.6,1848.9,"2019 Wimbledon R32",27.3,2088.6
17,"Serena Williams",39.7,1964.6,1887.2,1626.1,"1595.5",1925.9,1795.4,1780,"2003 Charleston SF",21.5,2515.5
18,"Bianca Andreescu",21,1954.2,1946.7,1549.2,"1416.5",1950.5,1751.7,1685.4,"2019 Beijing R16",19.3,2159
19,"Anett Kontaveit",25.4,1948.9,1884.5,1720.5,"1500.0",1916.7,1834.7,1724.5,"2017 Wimbledon R64",21.5,1988.6
20,"Jessica Pegula",27.3,1946.3,1874.4,1519.9,"1406.6",1910.3,1733.1,1676.5,"2021 Rome R16",27.2,1982.9
21,"Veronika Kudermetova",24.1,1941.9,1804.7,1789.6,"1569.7",1873.3,1865.8,1755.8,"2021 Roland Garros R128",24.1,1971.8
22,"Kiki Bertens",29.5,1933.7,1848.2,1835.5,"1666.0",1890.9,1884.6,1799.8,"2020 Doha R32",28.2,2047.4
23,"Anastasia Pavlyuchenkova",29.9,1921.5,1782.9,1767.6,"1452.2",1852.2,1844.6,1686.9,"2011 Roland Garros R16",19.9,2065.9
24,"Sofia Kenin",22.5,1920.9,1848.9,1650.8,"1640.3",1884.9,1785.8,1780.6,"2020 Fed Cup QLS R1",21.2,2050.2
25,"Darya Kasatkina",24.1,1920.1,1855.6,1668.8,"1651.3",1887.8,1794.4,1785.7,"2018 Indian Wells SF",20.8,2047.6
26,"Madison Keys",26.3,1912.8,1853.6,1718.5,"1631.6",1883.2,1815.7,1772.2,"2016 Olympics QF",21.5,2092.4
27,"Paula Badosa",23.5,1910.5,1572.7,1847.3,"1465.9",1741.6,1878.9,1688.2,"2021 Roland Garros R16",23.5,1930.9
28,"Belinda Bencic",24.3,1893.3,1819.7,1655.7,"1716.7",1856.5,1774.5,1805,"2016 St. Petersburg SF",18.9,2122.9
29,"Ekaterina Alexandrova",26.6,1892.9,1799.5,1582,"1543.5",1846.2,1737.5,1718.2,"2020 St. Petersburg R16",25.2,1975.6
30,"Karolina Muchova",24.8,1888.9,1810.5,1644.1,"1462.1",1849.7,1766.5,1675.5,"2021 Australian Open QF",24.5,1997.9
31,"Elena Rybakina",22,1877.8,1783.3,1667.7,"1575.0",1830.5,1772.8,1726.4,"2020 Dubai SF",20.7,2033.1
32,"Catherine Cartan Bellis",21.6,1870,1825.3,1585.4,"1527.1",1847.7,1727.7,1698.5,"2017 Toronto R32",18.3,1947.7
33,"Dayana Yastremska",20.5,1867.5,1780.3,1723.5,"1544.9",1823.9,1795.5,1706.2,"2019 Fed Cup G1 PM",18.7,1992.3
34,"Angelique Kerber",33.4,1864.3,1790.6,1726.1,"1788.8",1827.4,1795.2,1826.5,"2016 Singapore SF",28.8,2145.3
35,"Jelena Ostapenko",24,1855.2,1754.7,1681.6,"1680.1",1805,1768.4,1767.7,"2017 Wuhan QF",20.3,2022.3
36,"Ludmilla Samsonova",22.6,1850.9,1729.8,1440.6,"1701.9",1790.4,1645.8,1776.4,"2021 Berlin F",22.6,1850.9
37,"Marta Kostyuk",19,1844.6,1683.7,1695.6,"1359.6",1764.1,1770.1,1602.1,"2021 Birmingham R32",19,1859.1
38,"Sorana Cirstea",31.2,1844.2,1701.8,1664.3,"1448.2",1773,1754.3,1646.2,"2013 US Open R128",23.4,1910.2
39,"Johanna Konta",30.1,1843.8,1718.8,1633,"1687.3",1781.3,1738.4,1765.5,"2017 Fed Cup WG2 R1",25.9,2088.1
40,"Marketa Vondrousova",22,1837.6,1756.3,1724,"1290.5",1796.9,1780.8,1564,"2019 Roland Garros SF",19.9,2060.7
41,"Jil Belen Teichmann",23.9,1835.6,1750.8,1689.7,"1284.8",1793.2,1762.6,1560.2,"2021 Madrid R64",23.8,1861.1
42,"Yulia Putintseva",26.4,1833.7,1745.3,1649.1,"1483.2",1789.5,1741.4,1658.4,"2020 Roland Garros R128",25.7,1913.9
43,"Sara Sorribes Tormo",24.6,1832.9,1782.9,1633.7,"1479.3",1807.9,1733.3,1656.1,"2021 Miami R16",24.5,1881.8
44,"Petra Martic",30.4,1828,1700.4,1734.5,"1593.8",1764.2,1781.2,1710.9,"2019 Wuhan R16",28.7,1979
45,"Ann Li",21,1827.3,1810.7,1485.6,"1181.6",1819,1656.5,1504.5,"2021 Monterrey QF",20.7,1883.9
46,"Svetlana Kuznetsova",35.9,1826.2,1763.5,1613.2,"1492.6",1794.9,1719.7,1659.4,"2007 Stuttgart QF",22.3,2210.6
47,"Tamara Zidansek",23.4,1825.6,1502.2,1775.2,"1406.0",1663.9,1800.4,1615.8,"2019 Eastbourne R64",21.5,1854.4
48,"Danielle Rose Collins",27.5,1825.2,1696.7,1581.6,"1468.0",1761,1703.4,1646.6,"2021 Adelaide R16",27.2,1948
49,"Anastasija Sevastova",31.1,1820.9,1708.1,1708.6,"1609.2",1764.5,1764.8,1715.1,"2018 Moscow QF",28.5,1993
50,"Vera Zvonareva",36.7,1817.9,1721.9,1607.8,"1571.1",1769.9,1712.9,1694.5,"2009 Miami R64",24.5,2191.2
51,"Kaia Kanepi",36,1816.6,1765.8,1619.8,"1467.2",1791.2,1718.2,1641.9,"2010 Beijing R64",25.3,1996.3
52,"Amanda Anisimova",19.8,1816.4,1753.1,1674.8,"1401.4",1784.8,1745.6,1608.9,"2019 Mallorca R16",17.8,1929.7
53,"Laura Siegemund",33.2,1816,1705.3,1668.2,"1375.6",1760.6,1742.1,1595.8,"2016 Madrid R32",28.2,1920.5
54,"Ana Konjuh",23.5,1809.4,1674.2,1683,"1572.9",1741.8,1746.2,1691.2,"2017 Dubai R16",19.2,1898.4
55,"Irina Camelia Begu",30.8,1803.9,1702.7,1674.2,"1347.4",1753.3,1739.1,1575.6,"2016 Roland Garros R32",25.7,1943.9
56,"Shelby Rogers",28.7,1802.6,1782.7,1569.8,"1405.2",1792.7,1686.2,1603.9,"2021 Charleston 2 R16",28.5,1873.7
57,"Tsvetana Pironkova",33.8,1802.6,1713.9,1517.8,"1612.0",1758.2,1660.2,1707.3,"2006 Bratislava 75K R16",19.1,1859
58,"Caroline Garcia",27.7,1801.2,1697.2,1707.7,"1635.5",1749.2,1754.4,1718.4,"2017 Singapore RR",24,2044.4
59,"Sloane Stephens",28.2,1800.4,1614.9,1770,"1583.6",1707.7,1785.2,1692,"2017 US Open F",24.4,2022.1
60,"Katerina Siniakova",25.1,1799.8,1615.9,1711.4,"1491.6",1707.8,1755.6,1645.7,"2017 Shenzhen F",20.6,1935.7
61,"Alize Cornet",31.4,1799.6,1694.1,1593,"1531.5",1746.9,1696.3,1665.6,"2008 New Haven QF",18.6,2030.1
62,"Camila Giorgi",29.5,1796.4,1698.5,1645.9,"1569.3",1747.4,1721.2,1682.8,"2019 Australian Open R64",27,1926.1
63,"Fiona Ferro",24.3,1791.1,1567.2,1729.9,"1372.0",1679.1,1760.5,1581.5,"2021 Lyon QF",24,1854.5
64,"Qiang Wang",29.4,1790.9,1698.4,1610,"1449.5",1744.7,1700.4,1620.2,"2018 Hong Kong SF",26.7,1985.4
65,"Donna Vekic",25,1785.6,1716.4,1621.4,"1587.7",1751,1703.5,1686.6,"2019 Us Open R16",23.2,1951.4
66,"Ajla Tomljanovic",28.1,1785.3,1654.2,1626.7,"1547.9",1719.7,1706,1666.6,"2019 Rabat QF",26,1865.4
67,"Venus Williams",41,1782.6,1724.5,1494.1,"1553.5",1753.5,1638.4,1668.1,"2002 US Open SF",22.2,2462.2
68,"Su Wei Hsieh",35.4,1774.4,1744.9,1508.9,"1589.3",1759.6,1641.6,1681.8,"2019 Rabat R16",33.3,1905.4
69,"Katie Boulter",24.8,1773.3,1636.5,1391,"1534.9",1704.9,1582.1,1654.1,"2021 Nottingham R16",24.8,1794.6
70,"Shuai Zhang",32.4,1772.5,1702.3,1496.7,"1572.1",1737.4,1634.6,1672.3,"2016 Honolulu SF",27.8,1869.7
71,"Lesia Tsurenko",32,1771.2,1676.7,1603,"1490.5",1723.9,1687.1,1630.9,"2018 Brisbane SF",29.6,1944.8
72,"Nadia Podoroska",24.3,1769.3,1580.1,1676.7,"1318.4",1674.7,1723,1543.9,"2021 Yarra Valley Classic R16",24,1860.5
73,"Marie Bouzkova",22.9,1769.3,1728.8,1359.7,"1489.5",1749.1,1564.5,1629.4,"2021 Guadalajara QF",22.6,1848.4
74,"Kristina Mladenovic",28.1,1768.5,1675,1660.8,"1570.8",1721.7,1714.6,1669.6,"2017 Roland Garros R16",24,1985.4
75,"Saisai Zheng",27.3,1767.9,1678.3,1538,"1384.7",1723.1,1652.9,1576.3,"2020 Fed Cup G1 RR",26.1,1835.2
76,"Leylah Annie Fernandez",18.8,1764.5,1750.2,1438.4,"1409.0",1757.3,1601.4,1586.8,"2021 Monterrey F",18.5,1851.2
77,"Polona Hercog",30.4,1759.6,1616.1,1644.8,"1518.2",1687.8,1702.2,1638.9,"2009 Prague R32",18.5,1890.9
78,"Anastasia Potapova",20.2,1758.2,1682.4,1557.9,"1513.3",1720.3,1658,1635.7,"2019 Budapest QF",17.9,1817
79,"Rebecca Peterson",25.8,1755.3,1680.5,1586.6,"1477.3",1717.9,1671,1616.3,"2019 Tianjin F",24.2,1903.1
80,"Maria Camila Osorio Serrano",19.5,1753.7,1435.6,1660.3,"1436.7",1594.7,1707,1595.2,"2021 Belgrade QF",19.4,1809.6
81,"Magda Linette",29.3,1753.7,1705.9,1456.7,"1457.6",1729.8,1605.2,1605.6,"2020 Lexington R32",28.5,1828.5
82,"Aliaksandra Sasnovich",27.2,1750.1,1681.5,1592.1,"1374.5",1715.8,1671.1,1562.3,"2019 Australian Open R64",24.8,1944.4
83,"Alison Van Uytvanck",27.2,1747.9,1682.3,1503.5,"1639.3",1715.1,1625.7,1693.6,"2018 Montreal R64",24.4,1855.8
84,"Anna Karolina Schmiedlova",26.7,1747.6,1579.4,1622.7,"1275.1",1663.5,1685.2,1511.4,"2015 Wuhan R16",21,1934
85,"Viktorija Golubic",28.7,1747.3,1711.7,1541.8,"1440.4",1729.5,1644.5,1593.8,"2019 Indian Wells Qual",26.4,1829.5
86,"Bernarda Pera",26.5,1744.7,1576.8,1674.6,"1369.4",1660.7,1709.6,1557,"2018 Madrid R32",23.4,1827
87,"Ana Bogdan",28.5,1740.9,1608.4,1574.9,"1485.5",1674.6,1657.9,1613.2,"2018 New Haven Qual",25.7,1795.1
88,"Zarina Diyas",27.6,1740.4,1724.6,1492,"1505.3",1732.5,1616.2,1622.9,"2015 Dubai R32",21.3,1862.6
89,"Clara Tauson",18.4,1736.3,1730,1529.4,"1500.0",1733.2,1632.9,1618.2,"2021 St. Petersburg Qual",18.2,1832
90,"Andrea Petkovic",33.8,1732.7,1694.5,1548.1,"1433.3",1713.6,1640.4,1583,"2011 Beijing SF",24.1,2098
91,"Kirsten Flipkens",35.2,1728,1643.1,1491.7,"1596.5",1685.6,1609.9,1662.3,"2013 Toronto R32",27.6,1942
92,"Lauren Davis",27.7,1727.4,1617.1,1551.8,"1532.0",1672.2,1639.6,1629.7,"2017 Indian Wells R32",23.4,1902.6
93,"Danka Kovinic",26.5,1725.6,1487.4,1637.6,"1266.6",1606.5,1681.6,1496.1,"2016 Istanbul SF",21.4,1806
94,"Coco Vandeweghe",29.5,1722.8,1594,1601.5,"1685.7",1658.4,1662.2,1704.3,"2017 Zhuhai SF",25.9,1987.4
95,"Tereza Martincova",26.6,1722.2,1657.9,1432.6,"1545.0",1690.1,1577.4,1633.6,"2021 Bogota R32",26.4,1768.2
96,"Jasmine Paolini",25.4,1719,1478.6,1666.7,"1246.9",1598.8,1692.8,1482.9,"2021 Bol F",25.4,1719
97,"Eugenie Bouchard",27,1708.7,1580.3,1693.1,"1462.2",1644.5,1700.9,1585.5,"2014 Wimbledon SF",20.3,2056.3
98,"Margarita Gasparyan",26.7,1698.1,1675.4,1409,"1535.0",1686.7,1553.5,1616.5,"2019 Madrid Qual",24.7,1855.4
99,"Heather Watson",29.1,1692.2,1609.6,1440.5,"1538.0",1650.9,1566.3,1615.1,"2014 Eastbourne QF",22.1,1924.6
100,"Arantxa Rus",30.5,1688.3,1604.9,1529.8,"1429.4",1646.6,1609,1558.9,"2011 Cuneo 100K SF",20.5,1771.7
101,"Harmony Tan",23.7,1687.4,1510.8,1477,"-",1599.1,1582.2,1518.7,"2021 Roland Garros R128",23.7,1699.4
102,"Jule Niemeier",21.8,1684.7,1230,1506.5,"1432.7",1457.3,1595.6,1558.7,"2021 Berlin Qual",21.8,1701.4
