Rank,Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
1,Ashleigh Barty,44586,2191.4,2068.5,1993.1,1780.5,2130,2092.3,1986,Barty A.
2,Naomi Osaka,44735,2143.2,2117.8,1666.9,1552.6,2130.5,1905.1,1847.9,Osaka N.
3,Simona Halep,44741,2113.4,1986.1,1983.5,1817.7,2049.8,2048.4,1965.6,Halep S.
4,Aryna Sabalenka,44584,2087.3,1987.4,1824.4,1525.5,2037.4,1955.9,1806.4,Sabalenka A.
5,Iga Swiatek,20,2078.4,1853.4,1960.5,1445.2,1965.9,2019.5,1761.8,Swiatek I.
6,Garbine Muguruza,44769,2038.3,1984,1861.7,1677.7,2011.2,1950,1858,Muguruza G.
7,Petra Kvitova,31.2,2028.5,1916.9,1859.8,1734.0,1972.7,1944.1,1881.2,Kvitova P.
8,Cori Gauff,44609,2017.5,1796.6,1817.6,1641.9,1907.1,1917.6,1829.7,Gauff C.
9,Maria Sakkari,44829,2000.9,1901.7,1787,1513.9,1951.3,1894,1757.4,Sakkari M.
10,Elise Mertens,44737,1994.7,1968.1,1758.4,1543.9,1981.4,1876.5,1769.3,Mertens E.
11,Elina Svitolina,44799,1989.7,1905.2,1842.4,1537.1,1947.4,1916,1763.4,Svitolina E.
12,Barbora Krejcikova,44706,1988.7,1753.5,1850.4,1254.3,1871.1,1919.6,1621.5,Krejcikova B.
13,Victoria Azarenka,31.9,1986.3,1897.1,1677.9,1554.2,1941.7,1832.1,1770.3,Azarenka V.
14,Jennifer Brady,44587,1970.6,1886,1599.7,1498.2,1928.3,1785.1,1734.4,Brady J.
15,Ons Jabeur,44799,1968,1837.6,1695.2,1745.8,1902.8,1831.6,1856.9,Jabeur O.
16,Karolina Pliskova,29.2,1966.9,1851.3,1852.2,1730.8,1909.1,1909.6,1848.9,Pliskova K.
17,Serena Williams,39.7,1964.6,1887.2,1626.1,1595.5,1925.9,1795.4,1780,Williams S.
18,Bianca Andreescu,21,1954.2,1946.7,1549.2,1416.5,1950.5,1751.7,1685.4,Andreescu B.
19,Anett Kontaveit,44676,1948.9,1884.5,1720.5,1500.0,1916.7,1834.7,1724.5,Kontaveit A.
20,Jessica Pegula,44647,1946.3,1874.4,1519.9,1406.6,1910.3,1733.1,1676.5,Pegula J.
21,Veronika Kudermetova,44585,1941.9,1804.7,1789.6,1569.7,1873.3,1865.8,1755.8,Kudermetova V.
22,Kiki Bertens,44710,1933.7,1848.2,1835.5,1666.0,1890.9,1884.6,1799.8,Bertens K.
23,Anastasia Pavlyuchenkova,44833,1921.5,1782.9,1767.6,1452.2,1852.2,1844.6,1686.9,Pavlyuchenkova A.
24,Sofia Kenin,44703,1920.9,1848.9,1650.8,1640.3,1884.9,1785.8,1780.6,Kenin S.
25,Darya Kasatkina,44585,1920.1,1855.6,1668.8,1651.3,1887.8,1794.4,1785.7,Kasatkina D.
26,Madison Keys,44646,1912.8,1853.6,1718.5,1631.6,1883.2,1815.7,1772.2,Keys M.
27,Paula Badosa,44704,1910.5,1572.7,1847.3,1465.9,1741.6,1878.9,1688.2,Badosa P.
28,Belinda Bencic,44644,1893.3,1819.7,1655.7,1716.7,1856.5,1774.5,1805,Bencic B.
29,Ekaterina Alexandrova,44738,1892.9,1799.5,1582,1543.5,1846.2,1737.5,1718.2,Alexandrova E.
30,Karolina Muchova,44797,1888.9,1810.5,1644.1,1462.1,1849.7,1766.5,1675.5,Muchova K.
31,Elena Rybakina,22,1877.8,1783.3,1667.7,1575.0,1830.5,1772.8,1726.4,Rybakina E.
32,Catherine Cartan Bellis,44733,1870,1825.3,1585.4,1527.1,1847.7,1727.7,1698.5,Bellis C.C.
33,Dayana Yastremska,44701,1867.5,1780.3,1723.5,1544.9,1823.9,1795.5,1706.2,Yastremska D.
34,Angelique Kerber,33.4,1864.3,1790.6,1726.1,1788.8,1827.4,1795.2,1826.5,Kerber A.
35,Jelena Ostapenko,24,1855.2,1754.7,1681.6,1680.1,1805,1768.4,1767.7,Ostapenko J.
36,Ludmilla Samsonova,44734,1850.9,1729.8,1440.6,1701.9,1790.4,1645.8,1776.4,Samsonova L.
37,Marta Kostyuk,19,1844.6,1683.7,1695.6,1359.6,1764.1,1770.1,1602.1,Kostyuk M.
38,Sorana Cirstea,31.2,1844.2,1701.8,1664.3,1448.2,1773,1754.3,1646.2,Cirstea S.
39,Johanna Konta,44591,1843.8,1718.8,1633,1687.3,1781.3,1738.4,1765.5,Konta J.
40,Marketa Vondrousova,22,1837.6,1756.3,1724,1290.5,1796.9,1780.8,1564,Vondrousova M.
41,Jil Belen Teichmann,44827,1835.6,1750.8,1689.7,1284.8,1793.2,1762.6,1560.2,Teichmann J.B.
42,Yulia Putintseva,44677,1833.7,1745.3,1649.1,1483.2,1789.5,1741.4,1658.4,Putintseva Y.
43,Sara Sorribes Tormo,44736,1832.9,1782.9,1633.7,1479.3,1807.9,1733.3,1656.1,Tormo S.S.
44,Petra Martic,44681,1828,1700.4,1734.5,1593.8,1764.2,1781.2,1710.9,Martic P.
45,Ann Li,21,1827.3,1810.7,1485.6,1181.6,1819,1656.5,1504.5,Li A.
46,Svetlana Kuznetsova,35.9,1826.2,1763.5,1613.2,1492.6,1794.9,1719.7,1659.4,Kuznetsova S.
47,Tamara Zidansek,44674,1825.6,1502.2,1775.2,1406.0,1663.9,1800.4,1615.8,Zidansek T.
48,Danielle Rose Collins,44708,1825.2,1696.7,1581.6,1468.0,1761,1703.4,1646.6,Collins D.R.
49,Anastasija Sevastova,44592,1820.9,1708.1,1708.6,1609.2,1764.5,1764.8,1715.1,Sevastova A.
50,Vera Zvonareva,36.7,1817.9,1721.9,1607.8,1571.1,1769.9,1712.9,1694.5,Zvonareva V.
51,Kaia Kanepi,36,1816.6,1765.8,1619.8,1467.2,1791.2,1718.2,1641.9,Kanepi K.
52,Amanda Anisimova,44792,1816.4,1753.1,1674.8,1401.4,1784.8,1745.6,1608.9,Anisimova A.
53,Laura Siegemund,33.2,1816,1705.3,1668.2,1375.6,1760.6,1742.1,1595.8,Siegemund L.
54,Ana Konjuh,44704,1809.4,1674.2,1683,1572.9,1741.8,1746.2,1691.2,Konjuh A.
55,Irina Camelia Begu,44803,1803.9,1702.7,1674.2,1347.4,1753.3,1739.1,1575.6,Begu I.C.
56,Shelby Rogers,44770,1802.6,1782.7,1569.8,1405.2,1792.7,1686.2,1603.9,Rogers S.
57,Tsvetana Pironkova,33.8,1802.6,1713.9,1517.8,1612.0,1758.2,1660.2,1707.3,Pironkova T.
58,Caroline Garcia,44769,1801.2,1697.2,1707.7,1635.5,1749.2,1754.4,1718.4,Garcia C.
59,Sloane Stephens,44620,1800.4,1614.9,1770,1583.6,1707.7,1785.2,1692,Stephens S.
60,Katerina Siniakova,44586,1799.8,1615.9,1711.4,1491.6,1707.8,1755.6,1645.7,Siniakova K.
61,Alize Cornet,31.4,1799.6,1694.1,1593,1531.5,1746.9,1696.3,1665.6,Cornet A.
62,Camila Giorgi,44710,1796.4,1698.5,1645.9,1569.3,1747.4,1721.2,1682.8,Giorgi C.
63,Fiona Ferro,44644,1791.1,1567.2,1729.9,1372.0,1679.1,1760.5,1581.5,Ferro F.
64,Qiang Wang,44680,1790.9,1698.4,1610,1449.5,1744.7,1700.4,1620.2,Wang Q.
65,Donna Vekic,25,1785.6,1716.4,1621.4,1587.7,1751,1703.5,1686.6,Vekic D.
66,Ajla Tomljanovic,44589,1785.3,1654.2,1626.7,1547.9,1719.7,1706,1666.6,Tomljanovic A.
67,Venus Williams,41,1782.6,1724.5,1494.1,1553.5,1753.5,1638.4,1668.1,Williams V.
68,Su Wei Hsieh,35.4,1774.4,1744.9,1508.9,1589.3,1759.6,1641.6,1681.8,Hsieh S.W.
