"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
1,"Iga Swiatek",21,2263.4,2110.9,2075.1,"1583.7",2187.1,2169.3,1923.5,"2022 Roland Garros F",21,2263.4
2,"Ashleigh Barty",25.7,2180.5,2071.4,1891.4,"1773.2",2126,2035.9,1976.8,"2021 Us Open R64",25.3,2219.7
3,"Ons Jabeur",27.8,2092.4,1898,1858.5,"1797.5",1995.2,1975.5,1944.9,"2022 Rome SF",27.7,2097
4,"Paula Badosa",24.5,2046.3,1949.3,1837.6,"1505.6",1997.8,1942,1775.9,"2022 Australian Open R32",24.2,2083.8
5,"Anett Kontaveit",26.4,2031.4,1990.6,1690.7,"1517.7",2011,1861.1,1774.5,"2022 Indian Wells R64",26.2,2105.7
6,"Maria Sakkari",26.9,2016.4,1948.8,1776.9,"1586.9",1982.6,1896.6,1801.7,"2022 Indian Wells SF",26.6,2070
7,"Simona Halep",30.7,2012.7,1919.8,1843.5,"1719.9",1966.3,1928.1,1866.3,"2015 Stuttgart QF",23.6,2177.6
8,"Belinda Bencic",25.3,2010.5,1874.4,1749,"1717.3",1942.4,1879.8,1863.9,"2016 St. Petersburg SF",18.9,2121.1
9,"Cori Gauff",18.3,2010.4,1814.2,1867.1,"1724.5",1912.3,1938.7,1867.4,"2021 Roland Garros R16",17.2,2043.8
10,"Victoria Azarenka",32.8,2004.9,1917.6,1720.1,"1563.2",1961.2,1862.5,1784.1,"2013 Indian Wells R16",23.6,2325.4
11,"Naomi Osaka",24.6,2004.4,1977.9,1579.5,"1500.0",1991.2,1792,1752.2,"2021 Miami R16",23.4,2199.4
12,"Danielle Collins",28.4,1990.2,1935.6,1691.2,"1476.6",1962.9,1840.7,1733.4,"2022 Australian Open SF",28.1,2047.9
13,"Jessica Pegula",28.2,1981.4,1853.2,1718.9,"1410.1",1917.3,1850.1,1695.7,"2022 Roland Garros R16",28.2,1985.5
14,"Marketa Vondrousova",22.8,1980.1,1912.2,1713.1,"1314.1",1946.1,1846.6,1647.1,"2019 Roland Garros SF",19.9,2059.5
15,"Amanda Anisimova",20.7,1977.7,1810.6,1787.4,"1421.4",1894.2,1882.5,1699.5,"2022 Roland Garros R64",20.7,1995
16,"Daria Kasatkina",25.1,1976.4,1812.3,1795.7,"1631.8",1894.4,1886.1,1804.1,"2018 Indian Wells SF",20.8,2046.5
17,"Aryna Sabalenka",24.1,1970.7,1843.8,1804.7,"1681.8",1907.3,1887.7,1826.2,"2021 Rome R32",23,2127.8
18,"Leylah Fernandez",19.7,1939.1,1871.1,1656.6,"1397.5",1905.1,1797.8,1668.3,"2022 Indian Wells R32",19.5,1973.9
19,"Karolina Pliskova",30.2,1933.6,1860.8,1747.3,"1759.1",1897.2,1840.4,1846.3,"2019 Wimbledon R32",27.3,2087.4
20,"Ekaterina Alexandrova",27.6,1931.7,1724.8,1707.1,"1645.6",1828.2,1819.4,1788.6,"2020 St. Petersburg R16",25.2,1974.4
21,"Petra Kvitova",32.3,1930.2,1876.5,1798.8,"1674.5",1903.3,1864.5,1802.3,"2012 Sydney QF",21.8,2174.5
22,"Jelena Ostapenko",25,1930.1,1880.9,1623.9,"1728.2",1905.5,1777,1829.1,"2022 Doha QF",24.7,2034.7
23,"Garbine Muguruza",28.7,1924,1906,1767.2,"1631.4",1915,1845.6,1777.7,"2017 US Open R32",23.9,2109.6
24,"Angelique Kerber",34.3,1918.3,1810.8,1706.7,"1839.3",1864.6,1812.5,1878.8,"2016 Singapore SF",28.8,2144.4
25,"Veronika Kudermetova",25.1,1917.1,1821.6,1752.1,"1604.1",1869.4,1834.6,1760.6,"2021 Roland Garros R128",24.1,1971.6
26,"Elena Rybakina",23,1911.5,1868.8,1708.7,"1629.2",1890.1,1810.1,1770.4,"2020 Dubai SF",20.7,2031.9
27,"Karolina Muchova",25.8,1905,1816.7,1651.6,"1564.0",1860.8,1778.3,1734.5,"2021 Australian Open QF",24.5,1996.9
28,"Clara Tauson",19.4,1902.7,1863,1528.8,"1342.1",1882.8,1715.7,1622.4,"2022 Australian Open R64",19.1,1964.2
29,"Madison Keys",27.3,1902.2,1833.4,1699.6,"1639.6",1867.8,1800.9,1770.9,"2016 Olympics QF",21.5,2090.8
30,"Bianca Andreescu",22,1898.7,1857.7,1666.5,"1439.6",1878.2,1782.6,1669.1,"2019 Beijing R16",19.3,2158
31,"Jil Teichmann",24.9,1897.8,1736.8,1764.3,"1246.7",1817.3,1831,1572.3,"2022 Roland Garros R32",24.9,1937.2
32,"Elina Svitolina",27.5,1882.9,1783.5,1842.1,"1535.1",1833.2,1862.5,1709,"2018 Roland Garros R64",23.7,2113.2
33,"Beatriz Haddad Maia",26,1880.6,1719.5,1613.4,"1748.5",1800,1747,1814.5,"2022 Birmingham SF",26,1880.6
34,"Anastasia Pavlyuchenkova",30.9,1877,1787,1719.6,"1481.5",1832,1798.3,1679.3,"2011 Roland Garros R16",19.9,2062.4
35,"Yulia Putintseva",27.4,1873.3,1737.5,1728.7,"1456.1",1805.4,1801,1664.7,"2020 Roland Garros R128",25.7,1912.7
36,"Sara Sorribes Tormo",25.6,1865,1722.2,1701.8,"1523.2",1793.6,1783.4,1694.1,"2021 Us Open R64",24.9,1908.7
37,"Camila Giorgi",30.5,1863.1,1760,1634.7,"1631.4",1811.5,1748.9,1747.3,"2021 Montreal SF",29.6,1947.6
38,"Aliaksandra Sasnovich",28.2,1851.7,1773.8,1631.8,"1456.0",1812.8,1741.7,1653.9,"2019 Australian Open R64",24.8,1943.2
39,"Elise Mertens",26.6,1851.1,1805.7,1760.3,"1514.8",1828.4,1805.7,1683,"2021 Madrid R16",25.4,2045.1
40,"Marie Bouzkova",23.8,1848.2,1762,1539.6,"1467.2",1805.1,1693.9,1657.7,"2022 Madrid R32",23.8,1857.3
41,"Barbora Krejcikova",26.4,1844.8,1736.2,1709.4,"1448.1",1790.5,1777.1,1646.5,"2021 Us Open R16",25.7,2048.4
42,"Qinwen Zheng",19.7,1844.4,1675,1747.1,"1306.1",1759.7,1795.7,1575.2,"2022 Valencia 125 F",19.7,1885.9
43,"Kaia Kanepi",37,1843.7,1770.3,1658.8,"1449.3",1807,1751.2,1646.5,"2010 Beijing R64",25.3,1992.8
44,"Katerina Siniakova",26.1,1841.1,1689.5,1714.6,"1565.3",1765.3,1777.8,1703.2,"2017 Shenzhen F",20.6,1934.7
45,"Alison Riske",31.9,1837.3,1762.1,1458.1,"1678.9",1799.7,1647.7,1758.1,"2020 Australian Open R32",29.5,1911.5
46,"Anhelina Kalinina",25.3,1836.5,1672.2,1716.7,"1326.3",1754.4,1776.6,1581.4,"2022 Rome R64",25.2,1864.5
47,"Irina Camelia Begu",31.7,1834.6,1717.5,1672.7,"1401.1",1776,1753.7,1617.8,"2016 Roland Garros R32",25.7,1942.1
48,"Emma Raducanu",19.5,1834.1,1688.1,1541,"1468.2",1761.1,1687.6,1651.1,"2021 Us Open F",18.8,2004.6
49,"Shelby Rogers",29.7,1820,1748.4,1555.3,"1553.2",1784.2,1687.7,1686.6,"2021 Charleston 2 R16",28.5,1874
50,"Sorana Cirstea",32.2,1811.2,1723.3,1624.3,"1519.3",1767.2,1717.7,1665.3,"2013 US Open R128",23.4,1907.5
51,"Alison Van Uytvanck",28.2,1810.4,1691.6,1493.3,"1706.8",1751,1651.8,1758.6,"2018 Montreal R64",24.4,1854.6
52,"Sloane Stephens",29.2,1805.3,1673.4,1723.7,"1620.3",1739.4,1764.5,1712.8,"2017 US Open F",24.4,2021.8
53,"Katie Boulter",25.9,1796.7,1663,1390.9,"1626.5",1729.9,1593.8,1711.6,"2021 Portoroz R32",25.1,1811.5
54,"Petra Martic",31.4,1796.1,1663.9,1728.5,"1519.7",1730,1762.3,1657.9,"2019 Wuhan R16",28.7,1977.8
55,"Anastasija Sevastova",31.8,1794.7,1653.9,1707.1,"1594.0",1724.3,1750.9,1694.4,"2018 Moscow QF",28.5,1991.9
56,"Kaja Juvan",21.5,1792.7,1685.8,1657.7,"1544.8",1739.2,1725.2,1668.7,"2022 Strasbourg SF",21.5,1832.4
57,"Vera Zvonareva",37.5,1792.5,1682.7,1607.9,"1592.3",1737.6,1700.2,1692.4,"2009 Miami R64",24.5,2187
58,"Dayana Yastremska",22.1,1792.1,1738.4,1619.2,"1559.8",1765.3,1705.6,1675.9,"2019 Fed Cup G1 PM",18.7,1991.1
59,"Ann Li",22,1790.2,1731.2,1485.4,"1284.5",1760.7,1637.8,1537.3,"2021 Monterrey QF",20.7,1882.9
60,"Marta Kostyuk",19.9,1789.6,1708.3,1612.8,"1464.1",1748.9,1701.2,1626.9,"2021 Chicago 1 R16",19.2,1861
61,"Martina Trevisan",28.6,1788.1,1493.8,1716.7,"1201.1",1641,1752.4,1494.6,"2022 Roland Garros QF",28.6,1795
62,"Liudmila Samsonova",23.6,1787.3,1701.6,1488.2,"1625.3",1744.4,1637.7,1706.3,"2021 Wimbledon R32",22.6,1904.4
63,"Tereza Martincova",27.6,1783.5,1710.8,1403.3,"1605.0",1747.1,1593.4,1694.2,"2022 Indian Wells R128",27.4,1824
64,"Ajla Tomljanovic",29.1,1782.3,1653.9,1617,"1632.1",1718.1,1699.7,1707.2,"2019 Rabat QF",26,1864.1
65,"Lesia Tsurenko",33,1779.2,1675.5,1634.9,"1550.6",1727.3,1707,1664.9,"2018 Brisbane SF",29.6,1943.6
66,"Caroline Garcia",28.7,1775.3,1676.8,1690.2,"1567.2",1726,1732.7,1671.2,"2017 Singapore RR",24,2043.4
67,"Alize Cornet",32.4,1774.5,1673.6,1604.5,"1495.3",1724.1,1689.5,1634.9,"2008 New Haven QF",18.6,2026
68,"Elena Gabriela Ruse",24.6,1772.9,1723.4,1570.7,"1556.4",1748.1,1671.8,1664.6,"2022 Dubai R32",24.3,1848.9
69,"Andrea Petkovic",34.8,1771.3,1666.5,1619.9,"1427.3",1718.9,1695.6,1599.3,"2011 Beijing SF",24.1,2094.7
70,"Claire Liu",22.1,1767.3,1518,1707.3,"1492.8",1642.6,1737.3,1630,"2022 Rabat QF",22,1807
71,"Mayar Sherif",26,1766,1459.2,1760.4,"1471.0",1612.6,1763.2,1618.5,"2022 Roland Garros R128",26,1766
72,"Daria Gavrilova",28.3,1765,1755.3,1544.6,"1423.1",1760.2,1654.8,1594.1,"2017 Australian Open R32",22.9,1957.5
73,"Magda Linette",30.3,1764.3,1700.4,1550.2,"1455.1",1732.3,1657.3,1609.7,"2020 Lexington R32",28.5,1827.3
74,"Jule Niemeier",22.8,1761.8,1469.3,1730,"1454.0",1615.5,1745.9,1607.9,"2022 Makarska 125 F",22.8,1771.5
75,"Laura Siegemund",34.3,1761.3,1670.1,1648.7,"1389.2",1715.7,1705,1575.2,"2016 Madrid R32",28.2,1918.8
76,"Donna Vekic",26,1760.9,1724.3,1589.7,"1592.5",1742.6,1675.3,1676.7,"2019 Us Open R16",23.2,1950.2
77,"Nadia Podoroska",24.6,1759.9,1589.7,1677.1,"1411.2",1674.8,1718.5,1585.5,"2021 Yarra Valley Classic R16",24,1864
78,"Su Wei Hsieh",35.8,1757.7,1709.6,1507.5,"1561.2",1733.6,1632.6,1659.5,"2019 Rabat R16",33.3,1904.2
79,"Shuai Zhang",33.4,1754.5,1653,1497.7,"1638.5",1703.8,1626.1,1696.5,"2016 Honolulu SF",27.8,1868.2
80,"Camila Osorio",20.5,1750.1,1690.3,1615.9,"1483.1",1720.2,1683,1616.6,"2022 Monterrey SF",20.2,1837.4
