"Gender","player","id","elo_name","lastname_initial"
"W","iga swiatek",1,"Iga Swiatek","Swiatek I."
"W","barbora krejcikova",2,"Barbora Krejcikova","Krejcikova B."
"W","paula badosa",3,"Paula Badosa","Badosa P."
"W","maria sakkari",4,"Maria Sakkari","Sakkari M."
"W","anett kontaveit",5,"Anett Kontaveit","Kontaveit A."
"W","karolina pliskova",6,"Karolina Pliskova","Pliskova K."
"W","ons jabeur",7,"Ons Jabeur","Jabeur O."
"W","aryna sabalenka",8,"Aryna Sabalenka","Sabalenka A."
"W","danielle collins",9,"Danielle Collins","Collins D."
"W","garbiñe muguruza",10,"Garbine Muguruza","Muguruza G."
"W","jessica pegula",11,"Jessica Pegula","Pegula J."
"W","emma raducanu",12,"Emma Raducanu","Raducanu E."
"W","jelena ostapenko",13,"Jelena Ostapenko","Ostapenko J."
"W","belinda bencic",14,"Belinda Bencic","Bencic B."
"W","coco gauff",15,"Cori Gauff","Gauff C."
"W","victoria azarenka",16,"Victoria Azarenka","Azarenka V."
"W","elena rybakina",17,"Elena Rybakina","Rybakina E."
"W","leylah fernandez",18,"Leylah Fernandez","Fernandez L."
"W","angelique kerber",19,"Angelique Kerber","Kerber A."
"W","anastasia pavlyuchenkova",20,"Anastasia Pavlyuchenkova","Pavlyuchenkova A."
"W","simona halep",21,"Simona Halep","Halep S."
"W","madison keys",22,"Madison Keys","Keys M."
"W","daria kasatkina",23,"Daria Kasatkina","Kasatkina D."
"W","tamara zidansek",24,"Tamara Zidansek","Zidansek T."
"W","liudmila samsonova",25,"Liudmila Samsonova","Samsonova L."
"W","sorana cirstea",26,"Sorana Cirstea","Cirstea S."
"W","elina svitolina",27,"Elina Svitolina","Svitolina E."
"W","veronika kudermetova",28,"Veronika Kudermetova","Kudermetova V."
"W","jil teichmann",29,"Jil Teichmann","Teichmann J."
"W","camila giorgi",30,"Camila Giorgi","Giorgi C."
"W","ekaterina alexandrova",31,"Ekaterina Alexandrova","Alexandrova E."
"W","amanda anisimova",32,"Amanda Anisimova","Anisimova A."
"W","elise mertens",33,"Elise Mertens","Mertens E."
"W","petra kvitova",34,"Petra Kvitova","Kvitova P."
"W","marketa vondrousova",35,"Marketa Vondrousova","Vondrousova M."
