"time","player1","player2","odds1","odds2"
"12:00"," Basilashvili N.","Rosol L.",1.32,3.39
"12:00"," Davidovich Fokina A.","Hurkacz H.",5.02,1.17
"12:00"," Etcheverry T. M.","Humbert U.",6.13,1.13
"12:00"," Mannarino A.","Purcell M.",1.3,3.58
"12:00"," Marterer M.","Bedene A.",2,1.81
"12:00"," Monteiro T.","Munar J.",1.65,2.26
"12:00"," Norrie C.","Andujar-Alba P.",1.02,15.47
"12:00"," Paire B.","Halys Q.",3.39,1.32
"12:00"," Paul T.","Verdasco F.",1.15,5.49
"12:00"," Ruud C.","Ramos A.",1.2,4.63
"12:00"," Tiafoe F.","Vavassori A.",1.09,7.37
"13:30"," Couacaud E.","Isner J.",4.55,1.2
"13:30"," Kokkinakis T.","Majchrzak K.",1.97,1.84
"13:30"," Tabilo A.","Djere L.",2.46,1.55
"14:00"," Coria F.","Vesely J.",9.3,1.06
"14:00"," Millman J.","Kecmanovic M.",2.6,1.5
"14:30"," Djokovic N.","Kwon S.",1.01,19.36
"15:30"," Altmaier D.","Ymer M.",1.84,1.97
"15:30"," Clarke J.","Harrison C.",1.92,1.89
"15:30"," Griekspoor T.","Fognini F.",1.35,3.25
"15:30"," Lajovic D.","Carreno-Busta P.",3.37,1.32
"15:30"," Otte O.","Gojowczyk P.",1.14,5.9
"15:30"," Sinner J.","Wawrinka S.",1.32,3.4
"15:30"," Struff J-L.","Alcaraz C.",3.8,1.27
"15:30"," Van Rijthoven T.","Delbonis F.",1.1,7.28
"16:30"," Bublik A.","Fucsovics M.",1.59,2.37
"17:00"," Daniel T.","Baez S.",1.95,1.86
"17:00"," Goffin D.","Albot R.",1.49,2.65
"17:00"," Johnson S.","Dimitrov G.",4.48,1.21
"17:00"," Peniston R.","Laaksonen H.",1.22,4.36
"17:00"," Taberner C.","Opelka R.",5.79,1.14
"18:00"," Murray A.","Duckworth J.",1.18,4.83
"12:00"," Auger-Aliassime F.","Cressy M.",1.32,3.4
"12:00"," Balazs A.","Bautista-Agut R.",17.52,1.01
"12:00"," Bergs Z.","Draper J.",3.5,1.3
"12:00"," Berrettini M.","Garin C.",1.03,14.04
"12:00"," Broady L.","Klein L.",1.58,2.39
"12:00"," Carballes Baena R.","Thompson J.",7.86,1.09
"12:00"," Cerundolo F.","Nadal R.",13.8,1.03
"12:00"," Cilic M.","McDonald M.",1.18,4.86
"12:00"," De Minaur A.","Dellien H.",1.03,14.26
"12:00"," Galan Riveros D. E.","Koepfer D.",2.25,1.65
"12:00"," Gray A.","Tseng C. H.",2.11,1.73
"12:00"," Huesler M.","Grenier H.",1.56,2.44
"12:00"," Jubb P.","Kyrgios N.",9,1.07
"12:00"," Kolar Z.","Bonzi B.",6.44,1.12
"12:00"," Krajinovic F.","Lehecka J.",1.36,3.16
"12:00"," Kubler J.","Evans D.",4.28,1.22
"12:00"," Kukushkin M.","Brooksby J.",3.16,1.36
"12:00"," Lopez F.","Van De Zandschulp B.",4.94,1.18
"12:00"," Martinez P.","Molcan A.",2.75,1.45
"12:00"," Musetti L.","Fritz T.",5.38,1.16
"12:00"," Nakashima B.","Kuhn N.",1.08,7.87
"12:00"," Novak D.","Bagnis F.",1.16,5.29
"12:00"," Popyrin Al.","Gaston H.",1.6,2.34
"12:00"," Querrey S.","Berankis R.",1.22,4.3
"12:00"," Ritschard A.","Tsitsipas S.",12.25,1.04
"12:00"," Rune H.","Giron M.",2.17,1.69
"12:00"," Ruusuvuori E.","Nishioka Y.",1.15,5.47
"12:00"," Shapovalov D.","Rinderknech A.",1.34,3.26
"12:00"," Sonego L.","Kudla D.",1.81,2
"12:00"," Sousa J.","Gasquet R.",2.63,1.49
"12:00"," Zapata Miralles B.","Sock J.",3.03,1.39
