"time","player1","player2","odds1","odds2"
"12:00"," Burrage J.","Tsurenko L.",2.74,1.46
"12:00"," In-Albon Y.","Riske A.",8.03,1.08
"12:00"," Kalinina A.","Bondar A.",1.25,4.01
"12:00"," Siniakova K.","Chwalinska M.",1.35,3.2
"13:30"," Marino R.","Kawa K.",1.19,4.74
"14:00"," Bjorklund M.","Jabeur O.",11.26,1.04
"14:00"," Collins D. R.","Bouzkova M.",1.75,2.09
"14:00"," Garcia C.","Miyazaki L.",1.27,3.79
"14:00"," Juvan K.","Haddad Maia B.",3.98,1.25
"14:00"," Kanepi K.","Parry D.",1.22,4.29
"14:00"," Krunic A.","Cirstea S.",3.02,1.39
"14:00"," Niemeier J.","Wang Xiy.",1.44,2.8
"14:00"," Osorio C.","Mertens E.",4.54,1.2
"14:00"," Pera B.","Kontaveit A.",4.82,1.19
"14:00"," Tauson C.","Hontama M.",1.55,2.48
"15:00"," Inglis M.","Galfi D.",2.95,1.41
"15:30"," Bencic B.","Wang Q.",1.2,4.51
"15:30"," Korpatsch T.","Watson H.",2.85,1.43
"15:30"," Linette M.","Contreras Gomez F.",1.15,5.5
"15:30"," Trevisan M.","Cocciaretto E.",1.62,2.32
"15:30"," Zidansek T.","Udvardy P.",1.24,4.03
"16:00"," Bronzetti L.","Li A.",2.89,1.41
"16:00"," Sharma A.","Maria T.",2.7,1.47
"16:30"," Van Uytvanck A.","Raducanu E.",1.55,2.45
"17:30"," Dodin O.","Ostapenko J.",5.89,1.13
"17:30"," Gorgodze E.","Begu I.",7.07,1.1
"17:30"," Kerber A.","Mladenovic K.",1.1,6.89
"17:30"," Sakkari M.","Hives Z.",1.02,15.39
"17:30"," Saville D.","Tomova V.",1.46,2.73
"17:30"," Wickmayer Y.","Zhu L.",1.66,2.23
"17:30"," Zhang S.","Doi M.",1.17,5.07
"18:00"," Kostyuk M.","Swan K.",1.4,2.94
"12:00"," Badosa P.","Chirico L.",1.1,7.13
"12:00"," Bara Irina M.","Paquet C.",2.07,1.76
"12:00"," Bektas E.","Andreescu B.",10.62,1.05
"12:00"," Bogdan A.","Yastremska D.",2.64,1.49
"12:00"," Brengle M.","Davis L.",2.02,1.8
"12:00"," Burel C.","Boulter K.",4.77,1.19
"12:00"," Buzarnescu M.","Schunk N. M.",2.36,1.59
"12:00"," Cornet A.","Putintseva Y.",1.78,2.05
"12:00"," Flipkens K.","Fourlis J.",1.44,2.79
"12:00"," Gauff C.","Ruse G.",1.09,7.73
"12:00"," Giorgi C.","Frech M.",1.3,3.52
"12:00"," Golubic V.","Petkovic A.",1.69,2.18
"12:00"," Harrison C.","Rus A.",3.87,1.26
"12:00"," Kartal S.","Kovinic D.",1.48,2.66
"12:00"," Kucova K.","Pigossi L.",1.51,2.55
"12:00"," Liu C.","Parrizas-Diaz N.",1.65,2.24
"12:00"," Martincova T.","Pliskova Ka.",3.22,1.35
"12:00"," Masarova R.","Dart H.",5.04,1.17
"12:00"," Muchova K.","Halep S.",3.59,1.29
"12:00"," Muguruza G.","Minnen G.",1.21,4.47
"12:00"," Paolini J.","Kvitova P.",12.91,1.03
"12:00"," Peterson R.","Schmiedlova A. K.",1.66,2.23
"12:00"," Rogers S.","Martic P.",1.62,2.3
"12:00"," Sorribes Tormo S.","McHale C.",1.25,3.96
"12:00"," Swiatek I.","Fett J.",1.01,17.69
"12:00"," Teichmann J. B.","Tomljanovic A.",2.52,1.53
"12:00"," Vandeweghe C.","Rybakina E.",3.8,1.27
"12:00"," Vekic D.","Pegula J.",2.19,1.68
"12:00"," Wang Xin.","Anisimova A.",4.54,1.2
"12:00"," Williams S.","Tan H.",1.29,3.64
"12:00"," Zanevska M.","Krejcikova B.",4.64,1.2
"12:00"," Zheng Q.","Stephens S.",2.06,1.77
