WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Chwalinska M.,Siniakova K.,170,79,384,823,6,0,7,5,,,2,0,Completed,3.2,1.36,3.47,1.35,3.47,1.38,3.28,1.34
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Riske A.,In-Albon Y.,36,113,1381,590,6,2,6,4,,,2,0,Completed,1.08,8,1.11,7.66,1.12,8.5,1.09,7.33
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Tsurenko L.,Burrage J.,101,141,687,442,6,2,6,3,,,2,0,Completed,1.4,3,1.45,2.93,1.53,3.02,1.47,2.71
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Kalinina A.,Bondar A.,34,64,1417,1013,4,6,6,2,6,4,2,1,Completed,1.25,4,1.27,4.12,1.28,4.4,1.25,3.95
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Jabeur O.,Bjorklund M.,2,125,4340,514,6,1,6,3,,,2,0,Completed,1.05,11,1.04,15.83,1.08,17,1.04,12.63
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Kawa K.,Marino R.,132,104,490,649,6,4,3,6,7,5,2,1,Completed,4.33,1.22,4.36,1.25,4.45,1.25,4.19,1.23
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Mertens E.,Osorio M.,31,17,1615,2431,1,6,6,2,4,2,1,1,Retired,1.2,4.5,1.23,4.59,1.24,5,1.21,4.45
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Garcia C.,Miyazaki Y.,55,204,1105,336,4,6,6,1,7,6,2,1,Completed,1.25,4,1.27,4.12,1.32,4.25,1.26,3.89
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Niemeier J.,Wang Xiy.,97,105,709,641,6,1,6,4,,,2,0,Completed,1.4,3,1.45,2.93,1.49,3.2,1.43,2.84
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Kontaveit A.,Pera B.,3,123,4306,528,7,5,6,1,,,2,0,Completed,1.25,4,1.25,4.31,1.26,4.8,1.22,4.23
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Raducanu E.,Van Uytvanck A.,11,46,2952,1215,6,4,6,4,,,2,0,Completed,2.37,1.57,2.43,1.62,2.49,1.66,2.37,1.58
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Parry D.,Kanepi K.,77,38,841,1297,6,4,6,4,,,2,0,Completed,3.75,1.28,4.2,1.26,4.2,1.3,3.8,1.27
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Juvan K.,Haddad Maia B.,62,28,1040,1782,6,4,4,6,6,2,2,1,Completed,3.5,1.3,3.87,1.3,4.05,1.31,3.73,1.27
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Cirstea S.,Krunic A.,32,107,1430,639,7,6,7,6,,,2,0,Completed,1.36,3.2,1.37,3.36,1.42,3.47,1.35,3.23
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Cocciaretto E.,Trevisan M.,119,29,557,1744,6,2,6,0,,,2,0,Completed,2.5,1.53,2.48,1.6,2.7,1.6,2.52,1.52
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Hontama M.,Tauson C.,139,53,444,1129,4,1,,,,,0,0,Retired,2.37,1.57,2.39,1.64,2.5,1.66,2.36,1.59
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Bouzkova M.,Collins D.,66,8,940,3255,5,7,6,4,6,4,2,1,Completed,2.2,1.66,2.18,1.75,2.25,1.79,2.11,1.72
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Galfi D.,Inglis M.,89,129,762,497,5,7,6,3,6,4,2,1,Completed,1.44,2.75,1.47,2.87,1.47,3.05,1.43,2.81
30,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,3,Li A.,Bronzetti L.,67,73,922,875,6,1,6,4,,,2,0,Completed,1.5,2.62,1.49,2.8,1.5,2.9,1.47,2.68
