WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Hercog P.,Kuzmova V.,60,47,989,1185,4,6,7,6,7,5,2,1,Completed,1.53,2.5,1.6,2.47,1.6,2.63,1.53,2.52
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Bouzkova M.,Barthel M.,115,96,547,659,6,3,6,3,,,2,0,Completed,1.66,2.2,1.6,2.47,1.75,2.47,1.68,2.2
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Gasparyan M.,Friedsam A.L.,62,286,929,172,6,4,6,4,,,2,0,Completed,1.8,2,1.85,2.04,1.89,2.11,1.8,2.02
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kenin S.,Sharma A.,28,93,1895,671,6,4,6,2,,,2,0,Completed,1.12,6,1.13,6.86,1.18,6.86,1.14,5.69
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Keys M.,Kumkhum L.,16,107,2615,580,6,3,6,2,,,2,0,Completed,1.06,10,1.07,10.7,1.09,11.25,1.06,9.13
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Watson H.,Mcnally C.,122,165,531,363,7,6,6,2,,,2,0,Completed,2.75,1.44,2.81,1.49,3,1.54,2.67,1.48
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Sakkari M.,Pera B.,32,90,1670,689,7,6,6,3,,,2,0,Completed,1.3,3.5,1.35,3.44,1.37,3.56,1.33,3.3
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Svitolina E.,Gavrilova D.,8,74,3868,791,7,5,6,0,,,2,0,Completed,1.3,3.5,1.31,3.78,1.33,3.78,1.3,3.55
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Yastremska D.,Giorgi C.,35,42,1504,1303,6,3,6,3,,,2,0,Completed,1.5,2.62,1.53,2.66,1.54,2.72,1.5,2.59
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Martic P.,Brady J.,24,67,2105,838,3,6,6,3,6,4,2,1,Completed,1.44,2.75,1.47,2.86,1.49,3,1.44,2.79
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kontaveit A.,Rogers S.,20,298,2335,164,6,0,3,6,6,4,2,1,Completed,1.4,3,1.39,3.23,1.44,3.29,1.39,2.99
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Puig M.,Schmiedlova A.,52,87,1113,700,5,7,6,4,7,5,2,1,Completed,1.22,4.33,1.25,4.4,1.27,4.5,1.23,4.18
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Pliskova Ka.,Zhu L.,3,101,6055,607,6,2,7,6,,,2,0,Completed,1.02,19,1.02,19.55,1.04,26.5,1.02,16.03
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Golubic V.,Swiatek I.,81,64,723,879,6,2,7,6,,,2,0,Completed,2.37,1.57,2.48,1.6,2.48,1.65,2.33,1.6
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Halep S.,Sasnovich A.,7,36,4063,1490,6,4,7,5,,,2,0,Completed,1.12,6,1.11,7.62,1.15,7.62,1.12,6.43
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Rybarikova M.,Sabalenka A.,139,11,423,3365,6,2,6,4,,,2,0,Completed,2.75,1.44,3.05,1.43,3.08,1.5,2.87,1.42
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Muchova K.,Krunic A.,68,113,838,550,7,5,6,2,,,2,0,Completed,1.5,2.62,1.54,2.62,1.56,2.66,1.51,2.57
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Buzarnescu M.,Pegula J.,53,72,1106,806,6,4,6,4,,,2,0,Completed,1.66,2.2,1.75,2.18,1.77,2.25,1.7,2.16
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Sevastova A.,Ahn K.,12,190,3296,307,6,3,6,4,,,2,0,Completed,1.14,5.5,1.19,5.32,1.2,5.95,1.16,5.39
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kudermetova V.,Bonaventure Y.,59,114,994,549,6,2,6,4,,,2,0,Completed,1.53,2.5,1.53,2.67,1.53,2.75,1.49,2.63
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Potapova A.,Teichmann J.,71,89,815,698,2,6,6,4,6,1,2,1,Completed,1.57,2.37,1.57,2.55,1.65,2.66,1.54,2.48
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Brengle M.,Vondrousova M.,85,14,704,2775,6,4,6,4,,,2,0,Completed,5.5,1.14,6.2,1.15,6.2,1.19,5.45,1.15
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Putintseva Y.,Osaka N.,39,2,1355,6377,7,6,6,2,,,2,0,Completed,2.75,1.44,2.84,1.48,3.05,1.48,2.84,1.43
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Collins D.,Diyas Z.,34,86,1518,700,6,3,7,5,,,2,0,Completed,3,1.4,2.96,1.45,3,1.49,2.81,1.43
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Wickmayer Y.,Peterson R.,148,63,394,879,6,4,6,3,,,2,0,Completed,2.37,1.57,2.41,1.63,2.41,1.66,2.31,1.62
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Flipkens K.,Jakupovic D.,103,143,593,413,6,1,6,3,,,2,0,Completed,1.2,4.5,1.24,4.54,1.25,4.85,1.22,4.34
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Tomljanovic A.,Kasatkina D.,49,30,1150,1745,6,3,6,1,,,2,0,Completed,1.8,2,1.85,2.05,1.87,2.2,1.8,2.01
