"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
1,"Novak Djokovic",32,2188,2085.2,"2062.1","1964.7","2016 Monte Carlo Masters R32",28.9,2470
2,"Rafael Nadal",33,2183.3,1974.3,"2148.7","1608.1","2009 Madrid Masters F",22.9,2368.2
3,"Roger Federer",37.9,2180.5,2073.2,"1824.6","1912.1","2007 Indian Wells Masters R64",25.6,2377.8
4,"Dominic Thiem",25.7,2062,1884.6,"2033.5","1622.0","2016 Halle SF",22.8,2123
5,"Stefanos Tsitsipas",20.8,2000.9,1878.1,"1914.0","1560.6","2019 Roland Garros R16",20.8,2049.5
6,"Kei Nishikori",29.4,1997.7,1888,"1926.6","1737.0","2016 US Open SF",26.7,2210
7,"Juan Martin Del Potro",30.7,1975.9,1868.2,"1764.3","1563.4","2009 Tokyo R32",21,2230.5
8,"Matteo Berrettini",23.2,1972.8,1688,"1865.3","1744.0","2019 Halle SF",23.2,1993.7
9,"Alexander Zverev",22.2,1969.9,1913.9,"1971.6","1663.3","2017 Cincinnati Masters R32",20.3,2145.9
10,"Daniil Medvedev",23.3,1969.2,1924.5,"1660.0","1637.4","2019 Rotterdam SF",23,2065.2
11,"Borna Coric",22.6,1949.4,1846.6,"1787.8","1612.0","2019 Australian Open R16",22.2,2000.6
12,"Roberto Bautista Agut",31.2,1946.7,1885.4,"1792.0","1767.7","2016 Rotterdam QF",27.8,2014
13,"Milos Raonic",28.5,1931.6,1804.7,"1802.2","1779.3","2016 Wimbledon F",25.5,2155.5
14,"Marin Cilic",30.7,1921,1809,"1793.6","1796.6","2010 Dubai QF",21.4,2093.6
15,"Fabio Fognini",32,1915.5,1764.4,"1864.8","1599.2","2014 Munich F",26.9,2007.3
16,"Felix Auger Aliassime",18.9,1912,1737.6,"1760.0","1680.5","2019 London SF",18.9,1935.9
17,"Karen Khachanov",23.1,1908.7,1805.6,"1800.8","1670.7","2018 Doha R32",22.6,2013.3
18,"Stanislas Wawrinka",34.2,1908.5,1825.7,"1859.1","1535.8","2016 Australian Open R16",30.8,2145.7
19,"Nick Kyrgios",24.1,1907.9,1854.5,"1616.8","1637.7","2017 Cincinnati Masters F",22.3,2087.6
20,"Filip Krajinovic",27.2,1906.2,1761.6,"1845.7","1393.2","2019 Roland Garros R32",27.2,1913.4
21,"Gael Monfils",32.8,1897.6,1889.4,"1701.2","1547.9","2015 Monte Carlo Masters SF",28.6,2067.5
22,"Diego Sebastian Schwartzman",26.8,1884.4,1705.7,"1843.3","1395.6","2018 Acapulco R16",25.5,1925.4
23,"Kevin Anderson",33.1,1883.2,1775.5,"1677.4","1580.9","2019 Australian Open R64",32.7,2023.6
24,"David Goffin",28.5,1882.6,1727.2,"1770.6","1656.9","2017 Monte Carlo Masters SF",26.4,2036.3
25,"Jan Lennard Struff",29.1,1876.7,1682.4,"1748.8","1513.7","2019 Stuttgart SF",29.1,1887.4
26,"Jo Wilfried Tsonga",34.2,1868.6,1795.1,"1744.4","1613.5","2009 Indian Wells Masters R32",23.9,2125.3
27,"Christian Garin",23,1860.2,1484.7,"1837.3","1558.0","2019 Geneva R16",23,1894.3
28,"Kyle Edmund",24.4,1856.9,1825.1,"1703.0","1406.2","2019 Miami Masters R16",24.2,1936.8
29,"David Ferrer",37.1,1841.1,1793.9,"1810.5","1528.9","2013 Acapulco F",30.9,2218.4
30,"Fernando Verdasco",35.6,1829.3,1746.3,"1769.5","1515.4","2010 Rome Masters SF",26.4,2096
31,"Philipp Kohlschreiber",35.7,1829.1,1752.3,"1775.9","1549.2","2009 Stuttgart R16",25.7,1984.1
32,"Benoit Paire",30.1,1822.6,1617.7,"1787.2","1552.9","2013 Roland Garros R32",24.1,1903.6
33,"Pierre Hugues Herbert",28.2,1819.9,1712.6,"1638.6","1600.0","2019 Montpellier F",27.9,1841.1
34,"Lucas Pouille",25.3,1818.1,1724.9,"1730.3","1602.5","2017 Halle R16",23.3,1973.6
35,"Grigor Dimitrov",28.1,1812.7,1755.8,"1706.8","1539.9","2014 Canada Masters SF",23.2,2089.9
36,"Sam Querrey",31.5,1812.5,1693.9,"1702.3","1758.6","2012 Paris Masters QF",25.1,1971.4
37,"John Isner",33.9,1811.2,1711.6,"1658.5","1655.6","2012 US Open R32",27.3,2039.2
38,"Gilles Simon",34.5,1808.5,1729.3,"1666.1","1644.4","2009 Rotterdam R16",24.1,2014.8
39,"Guido Pella",29.1,1807.3,1528.9,"1815.5","1467.3","2019 Madrid Masters R32",29,1850.8
40,"Pablo Carreno Busta",27.9,1806.4,1736.1,"1704.1","1265.7","2017 Roland Garros R16",25.9,1930.7
41,"Nikoloz Basilashvili",27.3,1803.7,1737.1,"1712.9","1403.0","2018 Shanghai Masters R32",26.6,1881.8
42,"Denis Shapovalov",20.2,1803.4,1796.5,"1610.3","1338.3","2018 Tokyo SF",19.5,1905.5
43,"Feliciano Lopez",37.7,1801.7,1666,"1674.9","1779.2","2014 Shanghai Masters SF",33,1943.3
44,"Marton Fucsovics",27.4,1794.6,1727.5,"1661.7","1552.2","2019 Dubai QF",27,1857.9
45,"Dusan Lajovic",28.9,1791.7,1668,"1738.0","1342.1","2018 Beijing QF",28.3,1844.3
46,"Richard Gasquet",33,1791.4,1647.1,"1679.1","1585.4","2013 Monte Carlo Masters QF",26.8,2051.5
47,"Daniel Evans",29.1,1784.1,1699.4,"1390.9","1693.8","2017 Australian Open R16",26.7,1829.5
48,"Hubert Hurkacz",22.3,1783.7,1758.4,"1646.7","1418.5","2019 Miami Masters R32",22.1,1870.4
49,"Martin Klizan",29.9,1781.5,1684.6,"1718.9","1349.4","2015 Barcelona SF",25.8,1891.8
50,"Taylor Harry Fritz",21.6,1779.4,1683.6,"1667.5","1350.6","2016 Acapulco QF",18.3,1852.6
